region,site,site_code,shrub_density,lat,long,n_shrub,shrub_ID,shrub_lat,shrub_long,x,y,z,microsite,rep
Cuyama,2,Cuyama_2,open,34.85491,-119.48505,,,,,,,,1,214
Cuyama,2,Cuyama_2,open,34.85442,-119.4848,,,,,,,,2,215
Cuyama,2,Cuyama_2,open,34.85442,-119.4848,,,,,,,,2,216
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,1,35.1196,-119.629,410,312,124,1,217
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,2,35.11969,-119.62907,290,257,147,1,218
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,3,35.11969,-119.6289,463,279,141,1,219
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,4,35.11967,-119.62882,243,235,119,1,220
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,5,35.11967,-119.62877,291,255,135,1,221
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,6,35.11965,-119.62871,430,243,115,1,222
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,7,35.11956,-119.62884,250,206,127,1,223
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,8,35.11949,-119.6288,314,245,124,1,224
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,9,35.11949,-119.6289,212,182,114,1,225
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,10,35.11945,-119.62898,398,281,120,1,226
Carrizo,4,Carrizo_4,high,35.11959,-119.62891,11,11,35.11951,-119.62896,237,182,99,1,227
Carrizo,4,Carrizo_4,open,35.11994,-119.2885,,,,,,,,1,228
Carrizo,4,Carrizo_4,open,35.11994,-119.2885,,,,,,,,1,229
Carrizo,4,Carrizo_4,open,35.11888,-119.62764,,,,,,,,2,230
Carrizo,4,Carrizo_4,open,35.11888,-119.62764,,,,,,,,2,231
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,1,35.11931,-119.62838,330,291,140,2,232
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,2,35.11953,-119.62814,288,223,134,2,233
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,3,35.11961,-119.62805,372,250,114,2,234
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,4,35.11949,-119.62812,340,230,157,2,235
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,5,35.11948,-119.62814,285,220,179,2,236
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,6,35.11944,-119.62811,437,385,176,2,237
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,7,35.1194,-119.62821,204,186,90,2,238
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,8,35.11928,-119.62825,348,305,158,2,239
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,9,35.1193,-119.62836,347,286,112,2,240
Carrizo,4,Carrizo_4,high,35.11943,-119.6282,10,10,35.1193,-119.62838,268,206,118,2,241
Carrizo,3,Carrizo_3,open,35.16239,-119.67393,,,,,,,,1,242
Carrizo,3,Carrizo_3,open,35.16239,-119.67393,,,,,,,,1,243
Carrizo,3,Carrizo_3,open,35.1626,-119.67429,,,,,,,,2,244
Carrizo,3,Carrizo_3,open,35.1626,-119.67429,,,,,,,,2,245
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,1,35.16297,-119.67397,295,205,145,1,246
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,2,35.16303,-119.67406,309,250,138,1,247
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,3,35.16304,-119.67407,348,220,145,1,248
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,4,35.16312,-119.67412,400,272,117,1,249
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,5,35.16315,-119.67398,196,101,98,1,250
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,6,35.16313,-119.67397,432,213,110,1,251
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,7,35.16315,-119.67391,331,300,122,1,252
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,8,35.16313,-119.67377,477,268,115,1,253
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,9,35.1631,-119.67376,467,204,105,1,254
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,10,35.16309,-119.67374,315,307,121,1,255
Carrizo,3,Carrizo_3,high,35.16308,-119.67394,11,11,35.16299,-119.67388,539,385,131,2,256
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,1,35.16285,-119.67444,252,250,121,2,257
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,2,35.16288,-119.67448,305,201,123,2,258
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,3,35.16291,-119.67451,156,155,114,2,259
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,4,35.16292,-119.67452,233,227,150,2,260
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,5,35.16293,-119.67468,336,238,135,2,261
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,6,35.1629,-119.67468,341,252,131,2,262
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,7,35.16283,-119.67464,433,274,119,2,263
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,8,35.16283,-119.67462,237,166,104,2,264
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,9,35.16278,-119.67467,297,220,116,2,265
Carrizo,3,Carrizo_3,high,35.16275,-119.67462,12,10,35.16271,-119.6747,259,235,110,2,266
