state,desert,region,experiment,site_acronym,sub_site,site_code,foundation,lat,long,elevation,MAT,MAP,aridity,aspect,shrubs_manually_counted,viable_shrub_open_contrast,experimental_removal,density_monitoring_2022_MZ,shelters_2022_NG,GBIF_birds_ZHW,area_m2,area_calc,polygon_block,area_block_m2
California,San Joaquin,San Joaquin,BNLL diet,Avenal - hwy 269,Aven,Avenal,Ephedra californica,36.062187,-120.101809,,,,,,n,no,no,no,no,yes,139838.37,polygon,none,NA
California,San Joaquin,Carrizo,BNLL,plant-animal,1,Carrizo_1,Ephedra californica,35.20177,-119.72495,,14.2,494,3.25,,y,yes,no,no,no,yes,284423.85,polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,BNLL,plant-animal,2,Carrizo_2,Ephedra californica,35.19266,-119.71253,,14.2,494,3.25,,y,yes,no,no,no,yes,90491.75,polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,BNLL,plant-animal,3,Carrizo_3,Ephedra californica,35.16245,-119.67445,,14,524,3.493333333,,n,yes,no,yes,no,yes,519747.4,polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,BNLL,telemetry,4,Carrizo_4,Ephedra californica,35.11566,-119.62069,,14.5,476,3.070967742,,y,yes,no,yes,yes,yes,6593207.55,polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,BNLL,plant-animal,5,Carrizo_5,Ephedra californica,35.07283,-119.6606,,14.5,476,3.070967742,,y,no,no,no,no,no,456808.29,polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,BNLL,plant-animal,6,Carrizo_6,Ephedra californica,35.24177,-119.79147,,14.2,494,3.25,,n,no,no,no,no,yes,761315.93,polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,BNLL diet,Soda Lake Road - shrubs,CaS,Carrizo_soda_shrubs,Ephedra californica,35.11921364,-119.6297363,,,,,,n,no,no,no,no,no,106223.42,polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,invasion ,Carrizo invasion,7,Carrizo_7,Ephedra californica,35.2473536,-119.808462,,,,,,,,,,,,"81,719.76",polygon,Carrizo,200418076.9
California,San Joaquin,Carrizo,BNLL diet,Soda Lake Road - unshrubbed,CaSL,Carrizo_soda_open,open,35.0906062,-119.5772678,180,,,,,n,no,no,no,yes,no,6230.13,polygon,Carrizo,200418076.9
California,San Joaquin,Coalinga,BNLL diet,Coalinga - hwy 198,Coal,Coalinga,open,36.213013,-120.304092,,,,,,n,no,no,no,no,yes,212418.5,polygon,none,NA
California,San Joaquin,Cuyama,ERG,Cuyama,2,Cuyama_ERG,Ephedra californica,34.85521998,-119.48851,806.83429,14.1,542,3.589403974,,y,yes,yes,no,no,yes,117189.08,polygon,Cuyama,55203874.45
California,San Joaquin,Cuyama,micronet,micronet,1,Cuyama_1,Ephedra californica,34.84872602,-119.483117,848,13.4,533,3.701388889,flat,y,yes,no,yes,no,no,30580.25,polygon,Cuyama,55203874.45
California,San Joaquin,Cuyama,micronet,micronet,2,Cuyama_2,Ephedra californica,34.85362197,-119.485961,837,13.4,533,3.701388889,flat,y,yes,yes,yes,no,no,130538,polygon,Cuyama,55203874.45
California,San Joaquin,Cuyama,micronet,micronet,3,Cuyama_3,Ephedra californica,34.93824399,-119.48084,827,13.4,533,3.701388889,flat,y,yes,no,no,no,yes,15936.01,polygon,Cuyama,55203874.45
California,San Joaquin,Cuyama,micronet,micronet,4,Cuyama_4,Ephedra californica,34.94722403,-119.480491,838,13.4,533,3.701388889,east-facing slope,y,yes,no,no,no,yes,9933.26,polygon,Cuyama,55203874.45
California,San Joaquin,Cuyama,micronet,micronet,5,Cuyama_5,Ephedra californica,35.04595203,-119.889098,557,14.1,529,3.503311258,south-facing slope,y,no,yes,no,no,yes,22095.06,polygon,Cuyama,55203874.45
California,San Joaquin,Cuyama,micronet,micronet,6,Cuyama_6,Ephedra californica,35.04901201,-119.896177,504,14.1,529,3.503311258,south-facing slope,y,yes,no,no,no,no,34498.5,polygon,Cuyama,55203874.45
California,San Joaquin,Lokern,BNLL diet,Lokern,LoK,Lokern,Ephedra californica,35.354308,-119.584013,,,,,,n,no,no,no,no,yes,38001.36,polygon,none,NA
California,Mojave,Mojave,shrub contrast,MNP1,2.1,Mojave_1,Larrea tridentata,35.25608333,-116.0472333,313,21.5,70,0.325581395,flat,n,yes,no,no,no,no,48687.13,polygon,Kelbaker,432475574.5
California,Mojave,Mojave,shrub contrast,MNP2,2.2,Mojave_2,Larrea tridentata,35.2502,-115.9224333,515,20.8,80,0.384615385,flat,n,yes,no,no,no,no,62687.52,polygon,Kelbaker,432475574.5
California,Mojave,Mojave,shrub contrast,MNP3,2.3,Mojave_3,Larrea tridentata,35.18428333,-115.8600167,737,20.4,89,0.43627451,flat,n,yes,no,no,no,no,49383.39,polygon,Kelbaker,432475574.5
California,Mojave,Mojave,shrub contrast,MNP4,2.4,Mojave_4,Larrea tridentata,35.15516667,-115.7903333,951,18.7,134,0.71657754,flat,n,yes,no,no,no,no,53176.83,polygon,Kelbaker,432475574.5
California,Mojave,Mojave,shrub contrast,MNP5,2.5,Mojave_5,Larrea tridentata,35.14453333,-115.7286167,1128,17.5,168,0.96,rocky,n,yes,no,no,no,no,34682.62,polygon,Kelbaker,432475574.5
California,Mojave,Mojave,ERG,Barstow,4,Barstow_1,Ephedra californica,35.094051,-116.8349,496.02,19.7,135,0.652173913,,n,no,no,no,no,no,114251.17,polygon,none,NA
California,Mojave,Mojave,ERG,HeartofMojave,5,Heartofmojave,Ephedra californica,34.698199,-115.684169,784.73,19.3,79,0.389162562,,n,no,yes,yes,yes,no,41367.09,polygon,Mojave west,602633500
California,Mojave,Mojave,ERG,SheepholeValley,6,Sheephole,Ephedra californica,34.205676,-115.719676,545.92,20.9,109,0.497716895,,n,yes,no,no,no,no,69896.96,polygon,Mojave west,602633500
California,Mojave,Mojave,ERG,Tecopa,7,Tecopa_shrub,Ephedra californica,35.85151504,-116.186706,699.456665,20.1,77,0.36492891,,n,yes,no,no,no,no,33401.1,polygon,Tecopa,213979.67
California,Mojave,Mojave,shrub-animal-climate,Tecopa_open,8,Tecopa_open,none,35.85474,-116.17866,,,,0.36492891,,n,yes,no,yes,yes,yes,5684.19,polygon,Tecopa,213979.67
California,Mojave,Mojave,magnet,Kelso,1,Kelso_1,Larrea tridentata,35.3889,-115.40502,,17.2,169,0.928571429,,n,no,no,no,no,no,54982.84,polygon,Kelso dunes,694386420.8
