rep,site,site_code,date,microsite_number,microsite,shrub_ID,shrub_number,total_shrub,microsite_lat,microsite_long,shrub_lat,shrub_long,x,y,z,ground_temp,RH,handheld_temp,camera1_lat,camera1_long,camera2_lat,camera2_long,pendant1_lat,pendant1_long,pendant2_lat,pendant2_long,,
563,Mojave,Tecopa_shrub,05/22/2023,3,Density,119,5,11,35.8528,-116.18421,35.85274,-116.18415,96,62,79,33.11,26.8,34,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
564,Mojave,Tecopa_shrub,05/22/2023,3,Density,120,6,11,35.8528,-116.18421,35.85268,-116.18417,164,97,94,31.61,26.3,33.8,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
565,Mojave,Tecopa_shrub,05/22/2023,3,Density,121,7,11,35.8528,-116.18421,35.85269,-116.18409,101,88,69,30.22,27.3,32.9,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
566,Mojave,Tecopa_shrub,05/22/2023,3,Density,122,8,11,35.8528,-116.18421,35.85266,-116.18423,125,88,104,31.39,27.7,32.9,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
567,Mojave,Tecopa_shrub,05/22/2023,3,Density,123,9,11,35.8528,-116.18421,35.85268,-116.18422,89,80,78,30.67,28.2,34,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
568,Mojave,Tecopa_shrub,05/22/2023,3,Density,124,10,11,35.8528,-116.18421,35.8528,-116.18428,63,33,58,30.94,27.9,32.9,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
569,Mojave,Tecopa_shrub,05/22/2023,3,Density,125,11,11,35.8528,-116.18421,35.85287,-116.18432,95,87,111,31.44,28.1,31.9,35.85263,-116.18413,35.85297,-116.18432,35.85294,-116.18427,35.85287,-116.18432,,
570,Mojave,Tecopa_shrub,05/22/2023,4,Density,115,1,10,35.85267,-116.18457,35.85282,-116.18468,108,86,96,31.78,27.8,32.1,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,18246,17429
571,Mojave,Tecopa_shrub,05/22/2023,4,Density,116,2,10,35.85267,-116.18457,35.85278,-116.18451,69,63,66,31.72,27.7,34.1,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
572,Mojave,Tecopa_shrub,05/22/2023,4,Density,117,3,10,35.85267,-116.18457,35.85276,-116.18447,133,80,53,32,27.9,32.6,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
573,Mojave,Tecopa_shrub,05/22/2023,4,Density,118,4,10,35.85267,-116.18457,35.85263,-116.18444,153,73,78,31.06,28.8,30.5,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
574,Mojave,Tecopa_shrub,05/22/2023,4,Density,119,5,10,35.85267,-116.18457,35.85263,-116.18448,137,72,68,32.22,28.1,34.3,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
575,Mojave,Tecopa_shrub,05/22/2023,4,Density,120,6,10,35.85267,-116.18457,35.85258,-116.1845,85,64,55,31.56,27.6,31.5,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
576,Mojave,Tecopa_shrub,05/22/2023,4,Density,121,7,10,35.85267,-116.18457,35.85253,-116.18451,60,60,58,29.61,28.4,32.1,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
577,Mojave,Tecopa_shrub,05/22/2023,4,Density,122,8,10,35.85267,-116.18457,35.85265,-116.18465,103,102,73,29.39,29.1,35.8,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
578,Mojave,Tecopa_shrub,05/22/2023,4,Density,123,9,10,35.85267,-116.18457,35.85263,-116.18472,115,80,77,30.56,29.6,30.1,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
579,Mojave,Tecopa_shrub,05/22/2023,4,Density,124,10,10,35.85267,-116.18457,35.85285,-116.18472,128,105,99,31.22,29.1,32.4,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
580,Mojave,Tecopa_open,05/22/2023,1,Open,,,,35.85489,-116.17944,,,,,,31.61,27.7,46.2,35.85498,-116.17963,35.8548,-116.17924,35.85498,-116.17963,35.8548,-116.17924,18219,18023
581,Mojave,Tecopa_open,05/22/2023,1,Open,,,,35.85489,-116.17944,,,,,,33.67,26.5,48,35.85498,-116.17963,35.8548,-116.17924,35.85498,-116.17963,35.8548,-116.17924,,
582,Mojave,Tecopa_open,05/22/2023,2,Open,,,,35.8544,-116.17934,,,,,,33.33,26.6,50.1,35.85442,-116.17972,35.85442,-116.17955,35.85442,-116.17972,35.85442,-116.17955,160331,162412
583,Mojave,Tecopa_open,05/22/2023,2,Open,,,,35.8544,-116.17934,,,,,,35.56,23.9,50.7,35.85442,-116.17972,35.85442,-116.17955,35.85442,-116.17972,35.85442,-116.17955,,
584,Mojave,Tecopa_open,05/22/2023,3,Open,,,,35.85479,-116.17885,,,,,,34.78,25.4,40.1,35.85483,-116.17908,35.85474,-116.17866,35.85483,-116.17908,35.85474,-116.17866,18228,18257
585,Mojave,Tecopa_open,05/22/2023,3,Open,,,,35.85479,-116.17885,,,,,,32.89,27,47,35.85483,-116.17908,35.85474,-116.17866,35.85483,-116.17908,35.85474,-116.17866,,
586,Mojave,Tecopa_open,05/22/2023,4,Open,,,,35.85521,-116.17858,,,,,,32.22,24.6,49.5,35.85511,-116.17831,35.85527,-116.1787,35.85511,-116.17831,35.85527,-116.1787,,
587,Mojave,Tecopa_open,05/22/2023,4,Open,,,,35.85521,-116.17858,,,,,,32.33,25.4,45.1,35.85511,-116.17831,35.85527,-116.1787,35.85511,-116.17831,35.85527,-116.1787,,
110,Mojave,Tecopa_shrub,04/25/2023,1,Density,94,1,10,35.85266,-116.18361,35.85288,-116.18394,68,63,110,26.93,13.19,34.2,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,17990,18234
111,Mojave,Tecopa_shrub,04/25/2023,1,Density,95,2,10,35.85266,-116.18361,35.85284,-116.18388,200,163,198,26.47,12.78,26.3,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
112,Mojave,Tecopa_shrub,04/25/2023,1,Density,96,3,10,35.85266,-116.18361,35.85284,-116.18385,250,232,237,26.71,13.74,42.3,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
113,Mojave,Tecopa_shrub,04/25/2023,1,Density,97,4,10,35.85266,-116.18361,35.85281,-116.18369,84,80,72,21.07,13.95,25,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
114,Mojave,Tecopa_shrub,04/25/2023,1,Density,98,5,10,35.85266,-116.18361,35.8528,-116.18368,65,61,90,27.35,13.47,36,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
115,Mojave,Tecopa_shrub,04/25/2023,1,Density,99,6,10,35.85266,-116.18361,35.85278,-116.18374,77,65,69,27.45,12.68,41.9,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
116,Mojave,Tecopa_shrub,04/25/2023,1,Density,100,7,10,35.85266,-116.18361,35.85269,-116.18375,82,73,79,27.77,12.98,28.1,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
117,Mojave,Tecopa_shrub,04/25/2023,1,Density,101,8,10,35.85266,-116.18361,35.85268,-116.18375,103,99,85,27.8,12.6,36.3,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
